Epoch,Emissions,LP,Rebase,Team
0,0,0,0,0
1,2600000,1755000,780000,65000
2,2574000,1737450,772200,64350
3,2522520,1702701,756756,63063
4,2472069.6,1668646.98,741620.88,61801.74
5,2422628.21,1635274.04,726788.46,60565.71
6,2374175.64,1602568.56,712252.69,59354.39
7,2326692.13,1570517.19,698007.64,58167.3
8,2280158.29,1539106.84,684047.49,57003.96
9,2234555.12,1508324.71,670366.54,55863.88
10,2189864.02,1478158.21,656959.21,54746.6
11,2146066.74,1448595.05,643820.02,53651.67
12,2103145.4,1735094.955,315471.81,52578.64
13,2061082.5,1700393.063,309162.375,51527.06
14,2019860.85,1666385.201,302979.1275,50496.52
15,1979463.63,1633057.495,296919.5445,49486.59
16,1939874.36,1600396.347,290981.154,48496.86
17,1901076.87,1568388.418,285161.5305,47526.92
18,1863055.33,1537020.647,279458.2995,46576.38
19,1825794.23,1506280.24,273869.1345,45644.86
20,1789278.34,1476154.631,268391.751,44731.96
21,1753492.77,1446631.535,263023.9155,43837.32
22,1718422.92,1417698.909,257763.438,42960.57
23,1684054.46,1389344.93,252608.169,42101.36
24,1650373.37,1361558.03,247556.0055,41259.33
25,1617365.9,1334326.868,242604.885,40434.15
26,1585018.59,1307640.337,237752.7885,39625.46
27,1553318.21,1281487.523,232997.7315,38832.96
28,1522251.85,1255857.776,228337.7775,38056.3
29,1491806.81,1230740.618,223771.0215,37295.17
30,1461970.68,1206125.811,219295.602,36549.27
31,1432731.26,1182003.29,214909.689,35818.28
32,1404076.64,1158363.228,210611.496,35101.92
33,1375995.11,1135195.966,206399.2665,34399.88
34,1348475.2,1112492.04,202271.28,33711.88
35,1321505.7,1090242.203,198225.855,33037.64
36,1295075.59,1068437.362,194261.3385,32376.89
37,1269174.07,1047068.608,190376.1105,31729.35
38,1243790.59,1026127.237,186568.5885,31094.76
39,1218914.78,1005604.694,182837.217,30472.87
40,1194536.48,985492.596,179180.472,29863.41
41,1170645.75,965782.7438,175596.8625,29266.14
42,1147232.84,946467.093,172084.926,28680.82
43,1124288.18,927537.7485,168643.227,28107.2
44,1101802.42,908986.9965,165270.363,27545.06
45,1079766.37,890807.2553,161964.9555,26994.16
46,1058171.04,872991.108,158725.656,26454.28
47,1037007.62,855531.2865,155551.143,25925.19
48,1016267.47,838420.6628,152440.1205,25406.69
49,995942.12,821652.249,149391.318,24898.55
50,976023.28,805219.206,146403.492,24400.58
51,956502.81,789114.8183,143475.4215,23912.57
52,937372.76,773332.527,140605.914,23434.32
53,918625.3,757865.8725,137793.795,22965.63
54,900252.8,742708.56,135037.92,22506.32
55,882247.74,727854.3855,132337.161,22056.19
56,864602.78,713297.2935,129690.417,21615.07
57,847310.73,699031.3523,127096.6095,21182.77
58,830364.51,685050.7208,124554.6765,20759.11
59,813757.22,671349.7065,122063.583,20343.93
60,797482.08,657922.716,119622.312,19937.05
61,781532.44,644764.263,117229.866,19538.31
62,765901.79,631868.9768,114885.2685,19147.54
63,750583.75,619231.5938,112587.5625,18764.59
64,735572.08,606846.966,110335.812,18389.3
65,720860.64,594710.028,108129.096,18021.52
66,706443.42,582815.8215,105966.513,17661.09
67,692314.56,571159.512,103847.184,17307.86
68,678468.26,559736.3145,101770.239,16961.71
69,664898.9,548541.5925,99734.835,16622.47
70,651600.92,537570.759,97740.138,16290.02
71,638568.9,526819.3425,95785.335,15964.22
72,625797.52,516282.954,93869.628,15644.94
73,613281.57,505957.2953,91992.2355,15332.04
74,601015.94,495838.1505,90152.391,15025.4
75,588995.62,485921.3865,88349.343,14724.89
76,577215.71,476202.9608,86582.3565,14430.39
77,565671.4,466678.905,84850.71,14141.78
78,554357.97,457345.3253,83153.6955,13858.95
79,543270.81,448198.4183,81490.6215,13581.77
80,532405.39,439234.4468,79860.8085,13310.13
81,521757.29,430449.7643,78263.5935,13043.93
82,511322.14,421840.7655,76698.321,12783.05
83,501095.7,413403.9525,75164.355,12527.39
84,491073.78,405135.8685,73661.067,12276.84
85,481252.31,397033.1558,72187.8465,12031.31
86,471627.26,389092.4895,70744.089,11790.68
87,462194.72,381310.644,69329.208,11554.87
88,452950.82,373684.4265,67942.623,11323.77
89,443891.81,366210.7433,66583.7715,11097.3
90,435013.97,358886.5253,65252.0955,10875.35
91,426313.69,351708.7943,63947.0535,10657.84
92,417787.42,344674.6215,62668.113,10444.69
93,409431.67,337781.1278,61414.7505,10235.79
94,401243.03,331025.4998,60186.4545,10031.08
95,393218.17,324404.9903,58982.7255,9830.45
96,385353.81,317916.8933,57803.0715,9633.85
97,377646.73,311558.5523,56647.0095,9441.17
