symbol,address,isGamma,feeLevel,underlyingPool,type,gauge.fee,gauge.address
WMATIC/WETH (0.05%),0xe7806b5ba13d4b2ab3eab3061cb31d4a4f3390aa,True,500,0x1a34EaBbe928Bf431B679959379b2225d60D9cdA,Narrow,0x828Def38E7324445aFEfC5c9127d10afED2be67a,0x6315d75055c217E03916d726Dcc768B610d3FF50
WMATIC/USDC (0.05%),0xbe4e30b74b558e41f5837dc86562df44af57a013,True,500,0xEC15624FBB314eb05BaaD4cA49b7904C0Cb6b645,Narrow,0xE0a3Cdd211A51AC2eC9859F600264F0Cfe442B82,0x5b5433F62C198C9E15c1cAA1d72b8a6Bf292f370
USDC/WETH (0.05%),0xe058e1ffff9b13d3fcd4803fdb55d1cc2fe07ddc,True,500,0xCE67850420c82dB45eb7fEeCcD2d181300D2BDB3,Narrow,0x37beE3A397be44303d32F83c61EDE4791587CC50,0x4A7B85b9B0FE3801Ca666ce9f1EDDCD8c33e5eE5
WBTC/WETH (0.05%),0x336536f5bb478d8624ddce0942fdef5c92bc4662,True,500,0xb694E3bdd4BCdF843510983D257679D1E627C474,Narrow,0xF8608Fac44D4De1e230Fc42c1BAcE8F6A23D54DE,0xA495A2399432a3698C74f5c48C534833056ed937
WMATIC/USDT (0.05%),0x7b4a08284a93c424c9a1fd99d04ee4e3c64b041d,True,500,0xB580229645b240A368768ec3E88cb67A41eBBC5B,Narrow,0x42C503D0F2a0dA5E898C43c6EA9f8D613cFc7A0B,0x5912e79dCf96D1b31702cdCE1262e64F99782F36
WMATIC/CASH (0.05%),0x839d5b563e06b4abdf02d1a9d58d8ed33592c291,True,500,0x63ca6ED3D390C725b7FEb617BAdcab78a61038E8,Narrow,0x601700544A5dc5C5608330a746db38A17004F6E2,0xD9AF4c9a7E7C472FaD93132E0952b0DcFFBcA7F1
CASH/WETH (0.05%),0xe933e973d1b8bea29e8cad58457200ebb670a39c,True,500,0x0A46B0712974F201BeD15c2458a023EbED25eF4F,Narrow,0x44304E5Ac31C1B5ab3635a7fE96474BA8306DE51,0xd8d9CFaFefb78c9b2ffF81805beF180C5823D949
USDC/CASH (0.01%),0x64e14623ca543b540d0ba80477977f7c2c00a7ea,True,100,0x619259F699839dD1498FFC22297044462483bD27,Narrow,0x133c83E4397c6A9e380E33F1890Ae667d8cD56Db,0x273f8Fe9516458986d8710264a529a0a4a1517d4
CASH/USDT (0.01%),0xd24fbbaed8a380293969ed8c0ccb615e1b57d38f,True,100,0x160FBF00AB5fbF0200c0Cd4929aEaa2AdD25FB5b,Narrow,0x120b74C30535702e43B4BaD1b71221f6923393ad,0x10eF8C5C88811e881ba60140cCC8D5eEc6a26cF8
CASH/DAI (0.01%),0xc362c86432fb2d8a68f0f20c006d431e3865b112,True,100,0x1e683586fCB45a769ef2C7d9d7b1803E9C1AEE79,Narrow,0x7C12E642BE93e2917992019a2f6b9AA7aE449631,0xCc66188C25491a9e74Dd98152d27CEF91A078341
CASH/miMATIC (0.01%),0xd25eddb04ccf4d3c8b0ce7cddce203bc4dc56ea4,True,100,0xeB80047F7d5D4C4A3BC6319250d6b1b8aEe2d0D2,Narrow,0xa6b11DdeF36C6F7c9D7ca65b9de08735A698f7A3,0xf08392D40DFe775792085d602351d7DEFe4C0727
CASH/MaticX (0.05%),0xc024a13efe41e049ba0a6489dccea18432767700,True,500,0xb98F8DF0DC6750A3e54540A1e094186C8bED780a,Narrow,0xBbd4237144779086c345A8f3d0D83345F47285F7,0xeDf2b72BdAa81f5D0678861E0d0bF6cfBe4e292E
USDC/agEUR (0.05%),0x98b6a5eedc9382e2c4f8a38f985f2e9ac0b0e84c,True,500,0xC2CB03a819F785bD8eb8D628BAD41Cd7c1C71F4B,Narrow,0x2A858B837277C70E722Bc523B9881E75D9B8572d,0xDAe249C5446a794be6DFD80094F09ab8405Dca97
FRAX/CASH (0.01%),0x35e831e7e64035b3cba93a10d0681f68d0ddec6c,True,100,0x72289129Dc4937a5d406d1ECeD8b2A17d007A650,Narrow,0xa5733cBCe7a405474A3262412d97e223Bc13B614,0x0C4B24E02acCDE3Ddd5beFa5B12de9846B4Ab3BE
WMATIC/WETH (0.3%),0x30654368c3998ce5000bbc6358d78e9d841bd295,True,3000,0x7C2b4c5691dfde96c2e2169B2599e377b5090C91,Narrow,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
WMATIC/USDC (0.3%),0x275c12b71dfa6c70edb4403618dc2b48dc0d0d8d,True,3000,0x8c862d100B94d95a49D91958c9e8C2c348d00F04,Narrow,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000
CASH/RETRO (1%),0x11a04129c6ec84038d2d1723506c2f8d27a1a03a,True,10000,0xb47A07966cE6812702C0567d03725F1b37E27877,Narrow,0xD73c144D5e7D86868a0BF950c509F2deA9DfB0CA,0x5Ce4a22cF7aBd895D7839B76673fde87D2AE0500
WETH/RETRO (1%),0xcbe82a3cf40ccd4cf888bcbecea2fc18b4e4304d,True,10000,0x35394eED0Be676ec6470fE6531daD809265310ff,Narrow,0x2c5a2DF930FC6e2700d34a2b3fD15c0639FafF08,0x028D384EE39c10eAEDDb8C6c8dc230215742e666
WMATIC/RETRO (1%),0x328832c958703375b0eda42f8bd0fcbb11879e40,True,10000,0x547FD24AA2ED09d86dAC02E36b8Ce84A59fD644F,Narrow,0xC1dcDBb77aA94731Aab94237F1b0b40883eBD0Fb,0x2198713815e3356d59F5c58Be2d78615C3fEfe5C
WBTC/RETRO (1%),0x4fc33bdf483710f467273bd3f58acf3e7ef88e47,True,10000,0x0F73E719a76947752E4b26A2c3FC80a580e68fB4,Narrow,0x2DF200E4D77983BA895754D2e5f246b1942fC50e,0x907d90497cE9EbE2611155715Fb922152496e26a
stMATIC/RETRO (1%),0x825d9772deb8218c0a6628f76cae98e70d1b3694,True,10000,0x0973698BB6399c39d628698f9300430C4e7c9bf9,Narrow,0x04357b650889f8c876dD0a4faB1de3146F0af821,0xD6882f616Cb7AC77a0dc7Ede60D337F21DaB2648
USDC/RETRO (1%),0xfb730ded9f9369df68f4a67633b7b3be37094ee8,True,10000,0xc7d8B9c270D0E31A6a0Cf4496fe019766Be42E15,Narrow,0x3c04786e6A3Ada43F4E8e4f8294039f9b3B61a23,0x8EF6b9bB782928D5502836493c6759390D6367a3
RETRO/USDT (1%),0xb9c09ae0284ffd7094411886ec3d97962f0b5263,True,10000,0x69dCAE97A1286B112a8BD75bD9147bD0a3207756,Narrow,0xB26b7310c968735FfC7A5A9AAa5F8c4ecaCDd64B,0xCb3056D55A99ee68D7D2F82d96829191D063beeF
miMATIC/RETRO (1%),0xdfc86bf44dccc9529319e4fbc9579781c9345e18,True,10000,0xd98eEf295f78ddDd104a8645854C7F8714B39B88,Narrow,0x752eea8B98f44Ff539733684288b1ADc17D2b515,0xD5f9EA9E1536967E7a4F028FC7Ceeaa6db58372c
LINK/RETRO (1%),0xc38727c79d18e6b5c991cebadfbf7a4815c022cc,True,10000,0x7761c7233924C3D72F27Fae6a81B074C0152e03a,Narrow,0x9393C8e4a37f5b4BA510286E3853dFD5c4271820,0x05b5136232c82E0EeAFD835947d6Dc2c087aAC1a
RETRO/agEUR (1%),0x24d94c40a5061d9c8ae35c8fa45002f6b65fd978,True,10000,0x15949526fF03fE6ab5f49dA6a86749c20141b3f1,Narrow,0xeD55CA7609ebA72034133a479d923AD0074F7E20,0xDA37C098512550C159BA637385CE418E2A40fb0b
USDC/USDT (0.01%),0xa7565dfeb16010153d3368e002ec53cbfaf96e05,True,100,0x772510189425ac63f9a5A5eF2fd0C7FDA58CBFC7,Narrow,0x49f5cBB34069d66F477fd19A93B5E9BBAdFdA9F2,0x9889c60926Af4565adD6C22eab04aCCCCf65779b
USDC/DAI (0.01%),0x47884ccf20765a6b3b53333b752b28bba48c5ea9,True,100,0x219116F23BDC11EB25e4D0FbE92eD0972d86BE20,Narrow,0xa4Bc1F517c6897577BB7Fac900345538DCe4Ee2e,0x3a87D89280Fb00676B7a5ddd639A6C2F32DF935e
WMATIC/MaticX (0.01%),0x2589469b7a72802ce02484f053cb6df869eb2689,True,100,0x9aa18301055091e9da7C57b81633632Fa33B9a80,Narrow,0x0980a11Fef47FD609fA1D2Ed82134C076bD33Fb9,0xb891e98E549B9a350D818ba4067Ccd1C6719Dd6B
wstETH/WETH (0.01%),0x29e32ce44f0375bc798b9965845e0db32f5017ce,True,100,0xa9439Db1D7025Ce4aAc513Baf5eee5220172126C,Narrow,0xd5ede01ca767BBaDd2167684B19df4890736A40A,0x8e68e4Cc432F6b96EE1DFFDed684c6eb465CE6A0
WMATIC/stMATIC (0.01%),0xcdedc76bcc6351275acdef823190453ec43b4edf,True,100,0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea,Narrow,0xeb7d949f19Ab3f1810F8bA910987d049747fCbE4,0xa9706dB53a25c004Ff95201eEFbE454434321703
WETH/frxETH (0.01%),0x184a51465925ab8a0025e47a00cab6d3769b5487,True,100,0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B,Narrow,0x18C6D09Ba686eDef4EcAE852F5d4F253354Fc871,0x4ffb56016E0Ac939A5043e6Ee8B929c4561FC7aa
FRAX/frxETH (0.05%),0x1c5d12ad73875cda81d1dd7b09b994ee3b31bfc5,True,500,0x38df0c93bf69a9EfB3d3647fF459eF27235A8968,Narrow,0xD6588Baa15d13ab751Ff496d31E7509f3Ad9d055,0x26AF94E108928364B11815608831f504c72CFbeF
WMATIC/frxETH (0.05%),0x517e0971afe8c7633937715d9f3271e930bec372,True,500,0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2,Narrow,0x3C854E3c75621241ecAf7231b790AF33f1d4180A,0x68410687BFD125664F6a46F4914268E9efBE5253
xbb-t-USD/CASH (0.01%),0x2be6f30d8b7cc563bbf2fa8cc48713409940adb5,True,100,0x07dBf448cCC68cA64247da04F2E24643eCf57385,Narrow,0xaBF4b96743252Af58EECaE9cD107908eFD15141f,0x2b75Cf3C8476C3E1EaaBd5A050948771A8D315e4
